Quarter,Manufacturing ,"Electricity, gas, water and waste services", Construction,Wholesale trade,Retail trade ,Accommodation and food services ,"Transport, postal and warehousing ",Information media and telecommunications,Financial and insurance services ,"Rental, hiring and real estate services  "," Professional, scientific and technical services",  Administrative and support services,Arts and recreation services ,Other services 
Mar-2019,8698,4879,6337,6587,6199,2363,7121,4426,1906,10088,6156,1631,1240,1223
Jun-2019,8238,4474,6433,6616,6203,2493,6814,4299,1763,10431,6377,1552,1349,1116
Sep-2019,8362,4446,7411,6645,6187,2506,6412,4556,1464,9527,6926,1563,1133,1122
Dec-2019,8703,4625,7027,6620,6316,2440,6620,4683,914,9941,6813,1570,1294,952
Mar-2020,9250,4852,6485,7323,5949,2093,6090,4537,1291,9824,7253,1478,1268,1025
Jun-2020,10068,4520,8898,7827,8136,3616,6775,4387,882,10652,9510,3198,2216,3595
Sep-2020,11287,4396,9377,9114,9736,5591,7398,4558,313,11122,11107,3715,2632,4199
Dec-2020,10154,4170,8442,9346,9203,3869,5686,5168,801,11020,8575,2374,2125,3100
Mar-2021,10607,4262,8456,9488,7341,2676,5359,4121,1112,11060,7885,1996,1433,1548
Jun-2021,10130,4190,8088,9221,6877,2405,5549,4344,1141,11314,7784,2448,1385,2026